frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
6268.0010,-0.5949,-8.5191,-0.6746,-31.3229
6273.8589,-0.5959,-8.5237,-0.6762,-31.3509
6279.7169,-0.5967,-8.5297,-0.6777,-31.3806
6285.5748,-0.5977,-8.5344,-0.6793,-31.4079
6291.4328,-0.5988,-8.5402,-0.6808,-31.4365
6297.2907,-0.5998,-8.5452,-0.6824,-31.4645
6303.1486,-0.6009,-8.5503,-0.6839,-31.4930
6309.0066,-0.6018,-8.5551,-0.6855,-31.5213
6314.8645,-0.6028,-8.5608,-0.6870,-31.5498
6320.7225,-0.6037,-8.5664,-0.6886,-31.5783
6326.5804,-0.6047,-8.5706,-0.6903,-31.6068
6332.4384,-0.6057,-8.5765,-0.6917,-31.6341
6338.2963,-0.6067,-8.5823,-0.6934,-31.6631
6344.1543,-0.6077,-8.5865,-0.6949,-31.6915
6350.0122,-0.6087,-8.5927,-0.6964,-31.7188
6355.8701,-0.6097,-8.5972,-0.6980,-31.7487
6361.7281,-0.6107,-8.6029,-0.6994,-31.7767
6367.5860,-0.6117,-8.6090,-0.7012,-31.8051
6373.4440,-0.6126,-8.6127,-0.7027,-31.8321
6379.3019,-0.6137,-8.6178,-0.7043,-31.8620
6385.1599,-0.6147,-8.6229,-0.7059,-31.8901
6391.0178,-0.6157,-8.6291,-0.7074,-31.9182
6396.8758,-0.6165,-8.6344,-0.7090,-31.9463
6402.7337,-0.6176,-8.6385,-0.7106,-31.9740
6408.5917,-0.6186,-8.6443,-0.7121,-32.0030
6414.4496,-0.6196,-8.6494,-0.7137,-32.0309
6420.3075,-0.6209,-8.6548,-0.7154,-32.0585
6426.1655,-0.6215,-8.6604,-0.7170,-32.0874
6432.0234,-0.6225,-8.6655,-0.7184,-32.1161
6437.8814,-0.6235,-8.6710,-0.7203,-32.1448
6443.7393,-0.6246,-8.6761,-0.7216,-32.1720
6449.5973,-0.6256,-8.6809,-0.7232,-32.2009
6455.4552,-0.6266,-8.6861,-0.7249,-32.2292
6461.3132,-0.6275,-8.6916,-0.7264,-32.2578
6467.1711,-0.6285,-8.6957,-0.7280,-32.2861
6473.0290,-0.6295,-8.7017,-0.7295,-32.3133
6478.8870,-0.6306,-8.7058,-0.7312,-32.3427
6484.7449,-0.6315,-8.7120,-0.7329,-32.3710
6490.6029,-0.6327,-8.7158,-0.7343,-32.3996
6496.4608,-0.6335,-8.7219,-0.7361,-32.4281
6502.3188,-0.6345,-8.7268,-0.7376,-32.4554
6508.1767,-0.6355,-8.7320,-0.7391,-32.4840
6514.0347,-0.6365,-8.7371,-0.7408,-32.5124
6519.8926,-0.6375,-8.7427,-0.7423,-32.5402
6525.7505,-0.6385,-8.7486,-0.7439,-32.5685
6531.6085,-0.6396,-8.7526,-0.7454,-32.5969
6537.4664,-0.6407,-8.7574,-0.7471,-32.6257
6543.3244,-0.6415,-8.7625,-0.7488,-32.6539
6549.1823,-0.6424,-8.7682,-0.7502,-32.6821
6555.0403,-0.6435,-8.7728,-0.7519,-32.7104
6560.8982,-0.6446,-8.7779,-0.7536,-32.7390
6566.7562,-0.6456,-8.7829,-0.7552,-32.7671
6572.6141,-0.6467,-8.7881,-0.7569,-32.7960
6578.4721,-0.6475,-8.7928,-0.7584,-32.8236
6584.3300,-0.6485,-8.7983,-0.7600,-32.8510
6590.1879,-0.6496,-8.8027,-0.7616,-32.8800
6596.0459,-0.6506,-8.8084,-0.7632,-32.9086
6601.9038,-0.6515,-8.8132,-0.7649,-32.9369
6607.7618,-0.6527,-8.8187,-0.7665,-32.9641
6613.6197,-0.6536,-8.8235,-0.7681,-32.9933
6619.4777,-0.6545,-8.8290,-0.7696,-33.0222
6625.3356,-0.6555,-8.8329,-0.7714,-33.0491
6631.1936,-0.6567,-8.8388,-0.7729,-33.0783
6637.0515,-0.6575,-8.8436,-0.7745,-33.1063
6642.9094,-0.6586,-8.8478,-0.7762,-33.1347
6648.7674,-0.6595,-8.8530,-0.7777,-33.1624
6654.6253,-0.6607,-8.8583,-0.7794,-33.1914
6660.4833,-0.6617,-8.8628,-0.7811,-33.2202
6666.3412,-0.6626,-8.8682,-0.7826,-33.2477
6672.1992,-0.6637,-8.8728,-0.7844,-33.2764
6678.0571,-0.6646,-8.8775,-0.7859,-33.3037
6683.9151,-0.6657,-8.8825,-0.7875,-33.3325
6689.7730,-0.6667,-8.8876,-0.7892,-33.3614
6695.6309,-0.6677,-8.8933,-0.7908,-33.3896
6701.4889,-0.6687,-8.8980,-0.7925,-33.4174
6707.3468,-0.6697,-8.9028,-0.7940,-33.4459
6713.2048,-0.6708,-8.9077,-0.7957,-33.4743
6719.0627,-0.6717,-8.9115,-0.7972,-33.5027
6724.9207,-0.6728,-8.9175,-0.7989,-33.5316
6730.7786,-0.6736,-8.9219,-0.8005,-33.5593
6736.6366,-0.6749,-8.9267,-0.8023,-33.5882
6742.4945,-0.6758,-8.9319,-0.8039,-33.6158
6748.3525,-0.6768,-8.9367,-0.8055,-33.6449
6754.2104,-0.6778,-8.9412,-0.8072,-33.6728
6760.0683,-0.6788,-8.9468,-0.8087,-33.7005
6765.9263,-0.6798,-8.9514,-0.8105,-33.7292
6771.7842,-0.6809,-8.9564,-0.8118,-33.7577
6777.6422,-0.6819,-8.9606,-0.8138,-33.7853
6783.5001,-0.6828,-8.9657,-0.8154,-33.8141
6789.3581,-0.6839,-8.9711,-0.8170,-33.8418
6795.2160,-0.6847,-8.9754,-0.8187,-33.8716
6801.0740,-0.6859,-8.9813,-0.8203,-33.8993
6806.9319,-0.6870,-8.9858,-0.8219,-33.9275
6812.7898,-0.6879,-8.9901,-0.8236,-33.9554
6818.6478,-0.6889,-8.9954,-0.8251,-33.9839
6824.5057,-0.6899,-9.0004,-0.8270,-34.0128
6830.3637,-0.6911,-9.0049,-0.8286,-34.0407
6836.2216,-0.6920,-9.0091,-0.8302,-34.0686
6842.0796,-0.6930,-9.0149,-0.8318,-34.0964
6847.9375,-0.6940,-9.0189,-0.8334,-34.1264
6853.7955,-0.6951,-9.0234,-0.8351,-34.1536
6859.6534,-0.6961,-9.0287,-0.8368,-34.1817
6865.5113,-0.6971,-9.0334,-0.8385,-34.2099
6871.3693,-0.6982,-9.0387,-0.8401,-34.2395
6877.2272,-0.6991,-9.0422,-0.8418,-34.2671
6883.0852,-0.7002,-9.0484,-0.8434,-34.2960
6888.9431,-0.7011,-9.0526,-0.8452,-34.3239
6894.8011,-0.7022,-9.0574,-0.8468,-34.3514
6900.6590,-0.7032,-9.0633,-0.8484,-34.3805
6906.5170,-0.7041,-9.0669,-0.8502,-34.4086
6912.3749,-0.7052,-9.0711,-0.8518,-34.4371
6918.2329,-0.7064,-9.0777,-0.8535,-34.4655
6924.0908,-0.7073,-9.0817,-0.8552,-34.4942
6929.9487,-0.7085,-9.0861,-0.8568,-34.5224
6935.8067,-0.7093,-9.0918,-0.8584,-34.5510
6941.6646,-0.7104,-9.0946,-0.8602,-34.5780
6947.5226,-0.7114,-9.1001,-0.8618,-34.6067
6953.3805,-0.7123,-9.1050,-0.8634,-34.6359
6959.2385,-0.7134,-9.1087,-0.8651,-34.6637
6965.0964,-0.7144,-9.1148,-0.8668,-34.6922
6970.9544,-0.7155,-9.1190,-0.8685,-34.7201
6976.8123,-0.7165,-9.1240,-0.8702,-34.7489
6982.6702,-0.7175,-9.1286,-0.8719,-34.7776
6988.5282,-0.7185,-9.1344,-0.8736,-34.8049
6994.3861,-0.7197,-9.1380,-0.8752,-34.8334
7000.2441,-0.7206,-9.1429,-0.8769,-34.8627
7006.1020,-0.7215,-9.1470,-0.8786,-34.8911
7011.9600,-0.7226,-9.1517,-0.8802,-34.9187
7017.8179,-0.7238,-9.1568,-0.8819,-34.9468
7023.6759,-0.7247,-9.1617,-0.8836,-34.9754
7029.5338,-0.7257,-9.1650,-0.8853,-35.0031
7035.3918,-0.7268,-9.1701,-0.8870,-35.0317
7041.2497,-0.7277,-9.1751,-0.8887,-35.0597
7047.1076,-0.7288,-9.1794,-0.8903,-35.0894
7052.9656,-0.7297,-9.1841,-0.8921,-35.1161
7058.8235,-0.7308,-9.1888,-0.8937,-35.1451
7064.6815,-0.7318,-9.1938,-0.8955,-35.1737
7070.5394,-0.7330,-9.1973,-0.8971,-35.2017
7076.3974,-0.7339,-9.2030,-0.8989,-35.2308
7082.2553,-0.7348,-9.2073,-0.9006,-35.2584
7088.1133,-0.7360,-9.2125,-0.9021,-35.2870
7093.9712,-0.7370,-9.2164,-0.9038,-35.3146
7099.8291,-0.7380,-9.2215,-0.9056,-35.3431
7105.6871,-0.7391,-9.2254,-0.9073,-35.3718
7111.5450,-0.7400,-9.2298,-0.9089,-35.4007
7117.4030,-0.7412,-9.2349,-0.9106,-35.4289
7123.2609,-0.7421,-9.2393,-0.9125,-35.4576
7129.1189,-0.7433,-9.2441,-0.9142,-35.4859
7134.9768,-0.7442,-9.2492,-0.9159,-35.5141
7140.8348,-0.7452,-9.2530,-0.9176,-35.5416
7146.6927,-0.7463,-9.2574,-0.9193,-35.5707
7152.5506,-0.7473,-9.2626,-0.9210,-35.5992
7158.4086,-0.7484,-9.2668,-0.9227,-35.6272
7164.2665,-0.7494,-9.2712,-0.9244,-35.6551
7170.1245,-0.7504,-9.2746,-0.9261,-35.6842
7175.9824,-0.7515,-9.2801,-0.9277,-35.7125
7181.8404,-0.7525,-9.2859,-0.9295,-35.7411
7187.6983,-0.7534,-9.2890,-0.9313,-35.7684
7193.5563,-0.7544,-9.2935,-0.9330,-35.7975
7199.4142,-0.7556,-9.2990,-0.9346,-35.8259
7205.2722,-0.7566,-9.3028,-0.9364,-35.8538
7211.1301,-0.7578,-9.3069,-0.9381,-35.8821
7216.9880,-0.7588,-9.3115,-0.9398,-35.9114
7222.8460,-0.7597,-9.3168,-0.9415,-35.9395
7228.7039,-0.7607,-9.3206,-0.9433,-35.9679
7234.5619,-0.7619,-9.3253,-0.9450,-35.9958
7240.4198,-0.7627,-9.3303,-0.9467,-36.0253
7246.2778,-0.7638,-9.3340,-0.9484,-36.0528
7252.1357,-0.7648,-9.3387,-0.9500,-36.0807
7257.9937,-0.7657,-9.3434,-0.9519,-36.1089
7263.8516,-0.7670,-9.3472,-0.9537,-36.1372
7269.7095,-0.7680,-9.3521,-0.9553,-36.1661
7275.5675,-0.7690,-9.3565,-0.9570,-36.1947
7281.4254,-0.7701,-9.3604,-0.9587,-36.2225
7287.2834,-0.7710,-9.3655,-0.9605,-36.2508
7293.1413,-0.7722,-9.3704,-0.9622,-36.2795
7298.9993,-0.7732,-9.3736,-0.9639,-36.3078
7304.8572,-0.7741,-9.3777,-0.9658,-36.3363
7310.7152,-0.7753,-9.3826,-0.9676,-36.3646
7316.5731,-0.7762,-9.3872,-0.9693,-36.3930
7322.4310,-0.7774,-9.3925,-0.9709,-36.4213
7328.2890,-0.7784,-9.3971,-0.9726,-36.4503
7334.1469,-0.7794,-9.4004,-0.9744,-36.4789
7340.0049,-0.7804,-9.4053,-0.9761,-36.5069
7345.8628,-0.7815,-9.4090,-0.9780,-36.5350
7351.7208,-0.7825,-9.4150,-0.9797,-36.5630
7357.5787,-0.7837,-9.4184,-0.9814,-36.5912
7363.4367,-0.7845,-9.4227,-0.9831,-36.6201
7369.2946,-0.7857,-9.4269,-0.9849,-36.6492
7375.1526,-0.7866,-9.4318,-0.9866,-36.6775
7381.0105,-0.7877,-9.4362,-0.9883,-36.7056
7386.8684,-0.7888,-9.4398,-0.9902,-36.7338
7392.7264,-0.7898,-9.4446,-0.9919,-36.7622
7398.5843,-0.7909,-9.4493,-0.9936,-36.7910
7404.4423,-0.7917,-9.4527,-0.9954,-36.8193
7410.3002,-0.7929,-9.4576,-0.9973,-36.8480
7416.1582,-0.7938,-9.4620,-0.9989,-36.8762
7422.0161,-0.7949,-9.4659,-1.0007,-36.9044
7427.8741,-0.7960,-9.4704,-1.0024,-36.9328
7433.7320,-0.7971,-9.4750,-1.0041,-36.9620
7439.5899,-0.7981,-9.4793,-1.0060,-36.9898
7445.4479,-0.7992,-9.4838,-1.0078,-37.0175
7451.3058,-0.8002,-9.4880,-1.0095,-37.0457
7457.1638,-0.8013,-9.4922,-1.0113,-37.0750
7463.0217,-0.8023,-9.4965,-1.0129,-37.1034
7468.8797,-0.8034,-9.5004,-1.0147,-37.1318
7474.7376,-0.8044,-9.5049,-1.0165,-37.1596
7480.5956,-0.8054,-9.5094,-1.0182,-37.1887
7486.4535,-0.8065,-9.5138,-1.0200,-37.2165
7492.3114,-0.8076,-9.5177,-1.0217,-37.2455
7498.1694,-0.8084,-9.5229,-1.0235,-37.2740
7504.0273,-0.8096,-9.5262,-1.0252,-37.3020
7509.8853,-0.8106,-9.5312,-1.0270,-37.3306
7515.7432,-0.8116,-9.5345,-1.0288,-37.3590
7521.6012,-0.8127,-9.5390,-1.0306,-37.3873
7527.4591,-0.8138,-9.5429,-1.0324,-37.4158
7533.3171,-0.8149,-9.5476,-1.0341,-37.4447
7539.1750,-0.8159,-9.5513,-1.0359,-37.4730
7545.0330,-0.8168,-9.5559,-1.0377,-37.5012
7550.8909,-0.8180,-9.5606,-1.0396,-37.5303
7556.7488,-0.8191,-9.5641,-1.0413,-37.5580
7562.6068,-0.8200,-9.5686,-1.0430,-37.5868
7568.4647,-0.8211,-9.5723,-1.0450,-37.6150
7574.3227,-0.8222,-9.5769,-1.0466,-37.6440
7580.1806,-0.8232,-9.5808,-1.0485,-37.6726
7586.0386,-0.8243,-9.5850,-1.0502,-37.7000
7591.8965,-0.8253,-9.5895,-1.0519,-37.7289
7597.7545,-0.8263,-9.5938,-1.0538,-37.7573
7603.6124,-0.8274,-9.5984,-1.0555,-37.7856
7609.4703,-0.8285,-9.6022,-1.0572,-37.8151
7615.3283,-0.8295,-9.6071,-1.0592,-37.8425
7621.1862,-0.8306,-9.6102,-1.0610,-37.8708
7627.0442,-0.8316,-9.6157,-1.0626,-37.8992
7632.9021,-0.8327,-9.6185,-1.0645,-37.9285
7638.7601,-0.8338,-9.6232,-1.0662,-37.9568
7644.6180,-0.8348,-9.6274,-1.0681,-37.9854
7650.4760,-0.8358,-9.6308,-1.0700,-38.0139
7656.3339,-0.8370,-9.6357,-1.0716,-38.0424
7662.1918,-0.8379,-9.6400,-1.0734,-38.0711
7668.0498,-0.8389,-9.6436,-1.0753,-38.0993
7673.9077,-0.8400,-9.6481,-1.0771,-38.1276
7679.7657,-0.8411,-9.6517,-1.0789,-38.1556
7685.6236,-0.8421,-9.6568,-1.0807,-38.1850
7691.4816,-0.8432,-9.6603,-1.0825,-38.2131
7697.3395,-0.8443,-9.6646,-1.0843,-38.2411
7703.1975,-0.8453,-9.6692,-1.0861,-38.2702
7709.0554,-0.8463,-9.6725,-1.0880,-38.2984
7714.9134,-0.8472,-9.6766,-1.0896,-38.3273
7720.7713,-0.8484,-9.6799,-1.0915,-38.3545
7726.6292,-0.8495,-9.6850,-1.0933,-38.3846
7732.4872,-0.8505,-9.6886,-1.0951,-38.4123
7738.3451,-0.8516,-9.6926,-1.0969,-38.4414
7744.2031,-0.8527,-9.6964,-1.0988,-38.4697
7750.0610,-0.8537,-9.7007,-1.1005,-38.4980
7755.9190,-0.8548,-9.7050,-1.1024,-38.5261
7761.7769,-0.8558,-9.7090,-1.1042,-38.5552
7767.6349,-0.8569,-9.7130,-1.1061,-38.5838
7773.4928,-0.8580,-9.7179,-1.1079,-38.6117
7779.3507,-0.8590,-9.7208,-1.1096,-38.6404
7785.2087,-0.8600,-9.7250,-1.1115,-38.6681
7791.0666,-0.8612,-9.7290,-1.1134,-38.6975
7796.9246,-0.8622,-9.7338,-1.1151,-38.7273
7802.7825,-0.8632,-9.7384,-1.1168,-38.7554
7808.6405,-0.8643,-9.7409,-1.1187,-38.7832
7814.4984,-0.8655,-9.7453,-1.1207,-38.8123
7820.3564,-0.8665,-9.7496,-1.1224,-38.8409
7826.2143,-0.8676,-9.7543,-1.1243,-38.8687
7832.0722,-0.8686,-9.7576,-1.1260,-38.8973
7837.9302,-0.8695,-9.7619,-1.1279,-38.9265
7843.7881,-0.8707,-9.7657,-1.1297,-38.9548
7849.6461,-0.8717,-9.7693,-1.1315,-38.9828
7855.5040,-0.8728,-9.7729,-1.1334,-39.0115
7861.3620,-0.8738,-9.7772,-1.1352,-39.0401
7867.2199,-0.8748,-9.7816,-1.1370,-39.0689
7873.0779,-0.8759,-9.7856,-1.1388,-39.0969
7878.9358,-0.8770,-9.7899,-1.1407,-39.1264
7884.7938,-0.8780,-9.7931,-1.1426,-39.1541
7890.6517,-0.8791,-9.7974,-1.1444,-39.1836
7896.5096,-0.8803,-9.8022,-1.1462,-39.2114
7902.3676,-0.8813,-9.8054,-1.1482,-39.2403
7908.2255,-0.8823,-9.8088,-1.1501,-39.2692
7914.0835,-0.8834,-9.8135,-1.1518,-39.2975
7919.9414,-0.8843,-9.8165,-1.1537,-39.3262
7925.7994,-0.8855,-9.8208,-1.1554,-39.3542
7931.6573,-0.8864,-9.8258,-1.1573,-39.3829
7937.5153,-0.8875,-9.8289,-1.1592,-39.4111
7943.3732,-0.8886,-9.8331,-1.1610,-39.4403
7949.2311,-0.8897,-9.8356,-1.1628,-39.4689
7955.0891,-0.8908,-9.8403,-1.1647,-39.4968
7960.9470,-0.8917,-9.8445,-1.1667,-39.5255
7966.8050,-0.8929,-9.8483,-1.1685,-39.5541
7972.6629,-0.8940,-9.8522,-1.1702,-39.5832
7978.5209,-0.8950,-9.8558,-1.1721,-39.6121
7984.3788,-0.8962,-9.8600,-1.1738,-39.6404
7990.2368,-0.8973,-9.8634,-1.1758,-39.6694
7996.0947,-0.8982,-9.8682,-1.1777,-39.6981
8001.9526,-0.8993,-9.8717,-1.1796,-39.7266
8007.8106,-0.9003,-9.8755,-1.1815,-39.7546
8013.6685,-0.9013,-9.8791,-1.1832,-39.7831
8019.5265,-0.9025,-9.8829,-1.1851,-39.8117
8025.3844,-0.9036,-9.8868,-1.1870,-39.8409
8031.2424,-0.9047,-9.8919,-1.1888,-39.8695
8037.1003,-0.9057,-9.8952,-1.1908,-39.8984
8042.9583,-0.9068,-9.8987,-1.1927,-39.9257
8048.8162,-0.9077,-9.9022,-1.1945,-39.9553
8054.6742,-0.9089,-9.9067,-1.1963,-39.9832
8060.5321,-0.9100,-9.9104,-1.1983,-40.0121
8066.3900,-0.9109,-9.9143,-1.2002,-40.0414
8072.2480,-0.9120,-9.9177,-1.2019,-40.0694
8078.1059,-0.9131,-9.9227,-1.2037,-40.0988
8083.9639,-0.9143,-9.9251,-1.2058,-40.1276
8089.8218,-0.9152,-9.9289,-1.2076,-40.1564
8095.6798,-0.9163,-9.9336,-1.2094,-40.1848
8101.5377,-0.9174,-9.9371,-1.2111,-40.2131
8107.3957,-0.9186,-9.9405,-1.2132,-40.2414
8113.2536,-0.9196,-9.9441,-1.2151,-40.2703
8119.1115,-0.9206,-9.9481,-1.2169,-40.2997
8124.9695,-0.9216,-9.9532,-1.2188,-40.3274
8130.8274,-0.9228,-9.9565,-1.2207,-40.3565
8136.6854,-0.9238,-9.9596,-1.2227,-40.3853
8142.5433,-0.9249,-9.9637,-1.2243,-40.4134
8148.4013,-0.9261,-9.9672,-1.2265,-40.4421
8154.2592,-0.9270,-9.9714,-1.2282,-40.4710
8160.1172,-0.9282,-9.9748,-1.2303,-40.5000
8165.9751,-0.9291,-9.9784,-1.2321,-40.5289
8171.8330,-0.9303,-9.9823,-1.2339,-40.5576
8177.6910,-0.9313,-9.9862,-1.2358,-40.5857
8183.5489,-0.9322,-9.9886,-1.2377,-40.6144
8189.4069,-0.9334,-9.9927,-1.2397,-40.6435
8195.2648,-0.9345,-9.9970,-1.2414,-40.6714
8201.1228,-0.9357,-10.0010,-1.2434,-40.7005
8206.9807,-0.9366,-10.0045,-1.2451,-40.7295
8212.8387,-0.9377,-10.0082,-1.2471,-40.7580
8218.6966,-0.9389,-10.0123,-1.2489,-40.7870
8224.5546,-0.9399,-10.0160,-1.2510,-40.8152
8230.4125,-0.9409,-10.0199,-1.2529,-40.8438
8236.2704,-0.9420,-10.0232,-1.2547,-40.8720
8242.1284,-0.9431,-10.0266,-1.2566,-40.9010
8247.9863,-0.9442,-10.0308,-1.2586,-40.9309
8253.8443,-0.9452,-10.0351,-1.2604,-40.9588
8259.7022,-0.9463,-10.0375,-1.2624,-40.9881
8265.5602,-0.9474,-10.0419,-1.2642,-41.0163
8271.4181,-0.9485,-10.0465,-1.2662,-41.0457
8277.2761,-0.9495,-10.0491,-1.2680,-41.0741
8283.1340,-0.9505,-10.0535,-1.2699,-41.1033
8288.9919,-0.9516,-10.0567,-1.2719,-41.1321
8294.8499,-0.9528,-10.0599,-1.2739,-41.1612
8300.7078,-0.9538,-10.0635,-1.2757,-41.1887
8306.5658,-0.9549,-10.0675,-1.2777,-41.2179
8312.4237,-0.9560,-10.0704,-1.2796,-41.2468
8318.2817,-0.9571,-10.0748,-1.2815,-41.2754
8324.1396,-0.9581,-10.0783,-1.2834,-41.3038
8329.9976,-0.9592,-10.0815,-1.2854,-41.3329
8335.8555,-0.9604,-10.0855,-1.2873,-41.3608
8341.7134,-0.9613,-10.0892,-1.2891,-41.3905
8347.5714,-0.9624,-10.0923,-1.2911,-41.4194
8353.4293,-0.9635,-10.0971,-1.2931,-41.4486
8359.2873,-0.9647,-10.0999,-1.2950,-41.4769
8365.1452,-0.9656,-10.1032,-1.2969,-41.5051
8371.0032,-0.9668,-10.1073,-1.2988,-41.5334
8376.8611,-0.9678,-10.1107,-1.3008,-41.5632
8382.7191,-0.9689,-10.1145,-1.3027,-41.5914
8388.5770,-0.9701,-10.1177,-1.3045,-41.6207
8394.4350,-0.9710,-10.1216,-1.3066,-41.6495
8400.2929,-0.9721,-10.1255,-1.3085,-41.6784
8406.1508,-0.9732,-10.1293,-1.3104,-41.7067
8412.0088,-0.9742,-10.1325,-1.3124,-41.7361
8417.8667,-0.9753,-10.1360,-1.3144,-41.7646
8423.7247,-0.9764,-10.1396,-1.3162,-41.7933
8429.5826,-0.9776,-10.1425,-1.3181,-41.8229
8435.4406,-0.9787,-10.1474,-1.3201,-41.8514
8441.2985,-0.9796,-10.1499,-1.3219,-41.8802
8447.1565,-0.9808,-10.1540,-1.3239,-41.9090
8453.0144,-0.9817,-10.1577,-1.3259,-41.9379
8458.8723,-0.9828,-10.1611,-1.3280,-41.9666
8464.7303,-0.9840,-10.1651,-1.3298,-41.9947
8470.5882,-0.9850,-10.1678,-1.3318,-42.0248
8476.4462,-0.9862,-10.1724,-1.3337,-42.0529
8482.3041,-0.9873,-10.1754,-1.3356,-42.0824
8488.1621,-0.9884,-10.1793,-1.3376,-42.1106
8494.0200,-0.9894,-10.1825,-1.3395,-42.1400
8499.8780,-0.9905,-10.1857,-1.3414,-42.1684
8505.7359,-0.9917,-10.1901,-1.3434,-42.1974
8511.5938,-0.9926,-10.1927,-1.3454,-42.2260
8517.4518,-0.9937,-10.1961,-1.3474,-42.2547
8523.3097,-0.9948,-10.2006,-1.3494,-42.2842
8529.1677,-0.9959,-10.2035,-1.3512,-42.3129
8535.0256,-0.9970,-10.2072,-1.3532,-42.3414
8540.8836,-0.9980,-10.2095,-1.3551,-42.3701
8546.7415,-0.9992,-10.2140,-1.3571,-42.3999
8552.5995,-1.0002,-10.2180,-1.3589,-42.4287
8558.4574,-1.0012,-10.2209,-1.3610,-42.4573
8564.3154,-1.0025,-10.2247,-1.3630,-42.4865
8570.1733,-1.0035,-10.2285,-1.3650,-42.5150
8576.0312,-1.0046,-10.2312,-1.3670,-42.5446
8581.8892,-1.0057,-10.2346,-1.3689,-42.5734
8587.7471,-1.0067,-10.2376,-1.3709,-42.6017
8593.6051,-1.0079,-10.2413,-1.3729,-42.6302
8599.4630,-1.0089,-10.2446,-1.3749,-42.6600
8605.3210,-1.0101,-10.2485,-1.3769,-42.6885
8611.1789,-1.0110,-10.2521,-1.3788,-42.7172
8617.0369,-1.0123,-10.2554,-1.3808,-42.7462
8622.8948,-1.0134,-10.2592,-1.3828,-42.7760
8628.7527,-1.0144,-10.2620,-1.3848,-42.8045
8634.6107,-1.0155,-10.2652,-1.3867,-42.8336
8640.4686,-1.0166,-10.2694,-1.3888,-42.8620
8646.3266,-1.0175,-10.2727,-1.3907,-42.8916
8652.1845,-1.0186,-10.2758,-1.3926,-42.9203
8658.0425,-1.0198,-10.2796,-1.3947,-42.9496
8663.9004,-1.0209,-10.2831,-1.3965,-42.9781
8669.7584,-1.0219,-10.2872,-1.3985,-43.0071
8675.6163,-1.0231,-10.2892,-1.4006,-43.0359
8681.4742,-1.0242,-10.2931,-1.4026,-43.0642
8687.3322,-1.0252,-10.2964,-1.4045,-43.0933
8693.1901,-1.0263,-10.2997,-1.4064,-43.1229
8699.0481,-1.0275,-10.3027,-1.4084,-43.1515
8704.9060,-1.0285,-10.3063,-1.4106,-43.1805
8710.7640,-1.0296,-10.3098,-1.4124,-43.2102
8716.6219,-1.0307,-10.3135,-1.4145,-43.2378
8722.4799,-1.0318,-10.3171,-1.4165,-43.2673
8728.3378,-1.0328,-10.3205,-1.4185,-43.2972
8734.1958,-1.0339,-10.3238,-1.4206,-43.3252
8740.0537,-1.0351,-10.3260,-1.4226,-43.3554
8745.9116,-1.0361,-10.3299,-1.4245,-43.3834
8751.7696,-1.0372,-10.3327,-1.4265,-43.4122
8757.6275,-1.0383,-10.3371,-1.4286,-43.4413
8763.4855,-1.0395,-10.3401,-1.4305,-43.4713
8769.3434,-1.0404,-10.3433,-1.4325,-43.5000
8775.2014,-1.0415,-10.3466,-1.4345,-43.5283
8781.0593,-1.0426,-10.3503,-1.4365,-43.5583
8786.9173,-1.0437,-10.3532,-1.4386,-43.5871
8792.7752,-1.0450,-10.3572,-1.4404,-43.6169
8798.6331,-1.0460,-10.3602,-1.4425,-43.6452
8804.4911,-1.0470,-10.3631,-1.4445,-43.6744
8810.3490,-1.0481,-10.3660,-1.4466,-43.7034
8816.2070,-1.0494,-10.3700,-1.4486,-43.7326
8822.0649,-1.0503,-10.3730,-1.4506,-43.7614
8827.9229,-1.0514,-10.3770,-1.4527,-43.7900
8833.7808,-1.0525,-10.3791,-1.4547,-43.8195
8839.6388,-1.0536,-10.3834,-1.4566,-43.8481
8845.4967,-1.0546,-10.3864,-1.4587,-43.8783
8851.3546,-1.0557,-10.3897,-1.4606,-43.9063
8857.2126,-1.0569,-10.3931,-1.4628,-43.9362
8863.0705,-1.0580,-10.3969,-1.4647,-43.9648
8868.9285,-1.0592,-10.3995,-1.4667,-43.9948
8874.7864,-1.0601,-10.4023,-1.4688,-44.0232
8880.6444,-1.0613,-10.4058,-1.4708,-44.0522
8886.5023,-1.0624,-10.4086,-1.4727,-44.0814
8892.3603,-1.0633,-10.4129,-1.4748,-44.1105
8898.2182,-1.0646,-10.4155,-1.4770,-44.1397
8904.0762,-1.0657,-10.4185,-1.4790,-44.1690
8909.9341,-1.0668,-10.4219,-1.4809,-44.1972
8915.7920,-1.0679,-10.4245,-1.4830,-44.2264
8921.6500,-1.0688,-10.4288,-1.4851,-44.2570
8927.5079,-1.0701,-10.4327,-1.4870,-44.2849
8933.3659,-1.0712,-10.4354,-1.4891,-44.3137
8939.2238,-1.0721,-10.4390,-1.4910,-44.3433
8945.0818,-1.0732,-10.4412,-1.4931,-44.3721
8950.9397,-1.0744,-10.4447,-1.4951,-44.4017
8956.7977,-1.0754,-10.4479,-1.4973,-44.4307
8962.6556,-1.0767,-10.4515,-1.4992,-44.4595
8968.5135,-1.0777,-10.4545,-1.5012,-44.4894
8974.3715,-1.0787,-10.4567,-1.5033,-44.5182
8980.2294,-1.0800,-10.4606,-1.5053,-44.5472
8986.0874,-1.0810,-10.4648,-1.5074,-44.5775
