frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
6174.2739,-0.6348,-79.3996,-0.6348,-79.3996
6180.1318,-0.6362,-79.4741,-0.6362,-79.4741
6185.9897,-0.6377,-79.5487,-0.6377,-79.5487
6191.8477,-0.6391,-79.6232,-0.6391,-79.6232
6197.7056,-0.6406,-79.6978,-0.6406,-79.6978
6203.5636,-0.6420,-79.7723,-0.6420,-79.7723
6209.4215,-0.6434,-79.8468,-0.6434,-79.8468
6215.2795,-0.6449,-79.9214,-0.6449,-79.9214
6221.1374,-0.6463,-79.9959,-0.6463,-79.9959
6226.9954,-0.6478,-80.0705,-0.6478,-80.0705
6232.8533,-0.6492,-80.1450,-0.6492,-80.1450
6238.7113,-0.6507,-80.2195,-0.6507,-80.2195
6244.5692,-0.6521,-80.2941,-0.6521,-80.2941
6250.4271,-0.6536,-80.3686,-0.6536,-80.3686
6256.2851,-0.6550,-80.4432,-0.6550,-80.4432
6262.1430,-0.6565,-80.5177,-0.6565,-80.5177
6268.0010,-0.6579,-80.5923,-0.6579,-80.5923
6273.8589,-0.6594,-80.6668,-0.6594,-80.6668
6279.7169,-0.6608,-80.7413,-0.6608,-80.7413
6285.5748,-0.6623,-80.8159,-0.6623,-80.8159
6291.4328,-0.6637,-80.8904,-0.6637,-80.8904
6297.2907,-0.6652,-80.9650,-0.6652,-80.9650
6303.1486,-0.6666,-81.0395,-0.6666,-81.0395
6309.0066,-0.6681,-81.1141,-0.6681,-81.1141
6314.8645,-0.6696,-81.1886,-0.6696,-81.1886
6320.7225,-0.6710,-81.2631,-0.6710,-81.2631
6326.5804,-0.6725,-81.3377,-0.6725,-81.3377
6332.4384,-0.6740,-81.4122,-0.6740,-81.4122
6338.2963,-0.6754,-81.4868,-0.6754,-81.4868
6344.1543,-0.6769,-81.5613,-0.6769,-81.5613
6350.0122,-0.6783,-81.6359,-0.6783,-81.6359
6355.8701,-0.6798,-81.7104,-0.6798,-81.7104
6361.7281,-0.6813,-81.7850,-0.6813,-81.7850
6367.5860,-0.6827,-81.8595,-0.6827,-81.8595
6373.4440,-0.6842,-81.9340,-0.6842,-81.9340
6379.3019,-0.6857,-82.0086,-0.6857,-82.0086
6385.1599,-0.6872,-82.0831,-0.6872,-82.0831
6391.0178,-0.6886,-82.1577,-0.6886,-82.1577
6396.8758,-0.6901,-82.2322,-0.6901,-82.2322
6402.7337,-0.6916,-82.3068,-0.6916,-82.3068
6408.5917,-0.6930,-82.3813,-0.6930,-82.3813
6414.4496,-0.6945,-82.4559,-0.6945,-82.4559
6420.3075,-0.6960,-82.5304,-0.6960,-82.5304
6426.1655,-0.6975,-82.6050,-0.6975,-82.6050
6432.0234,-0.6989,-82.6795,-0.6989,-82.6795
6437.8814,-0.7004,-82.7541,-0.7004,-82.7541
6443.7393,-0.7019,-82.8286,-0.7019,-82.8286
6449.5973,-0.7034,-82.9032,-0.7034,-82.9032
6455.4552,-0.7049,-82.9777,-0.7049,-82.9777
6461.3132,-0.7063,-83.0523,-0.7063,-83.0523
6467.1711,-0.7078,-83.1268,-0.7078,-83.1268
6473.0290,-0.7093,-83.2014,-0.7093,-83.2014
6478.8870,-0.7108,-83.2759,-0.7108,-83.2759
6484.7449,-0.7123,-83.3505,-0.7123,-83.3505
6490.6029,-0.7138,-83.4250,-0.7138,-83.4250
6496.4608,-0.7153,-83.4996,-0.7153,-83.4996
6502.3188,-0.7168,-83.5742,-0.7168,-83.5742
6508.1767,-0.7182,-83.6487,-0.7182,-83.6487
6514.0347,-0.7197,-83.7233,-0.7197,-83.7233
6519.8926,-0.7212,-83.7978,-0.7212,-83.7978
6525.7505,-0.7227,-83.8724,-0.7227,-83.8724
6531.6085,-0.7242,-83.9469,-0.7242,-83.9469
6537.4664,-0.7257,-84.0215,-0.7257,-84.0215
6543.3244,-0.7272,-84.0961,-0.7272,-84.0961
6549.1823,-0.7287,-84.1706,-0.7287,-84.1706
6555.0403,-0.7302,-84.2452,-0.7302,-84.2452
6560.8982,-0.7317,-84.3197,-0.7317,-84.3197
6566.7562,-0.7332,-84.3943,-0.7332,-84.3943
6572.6141,-0.7347,-84.4689,-0.7347,-84.4689
6578.4721,-0.7362,-84.5434,-0.7362,-84.5434
6584.3300,-0.7377,-84.6180,-0.7377,-84.6180
6590.1879,-0.7392,-84.6926,-0.7392,-84.6926
6596.0459,-0.7407,-84.7671,-0.7407,-84.7671
6601.9038,-0.7422,-84.8417,-0.7422,-84.8417
6607.7618,-0.7437,-84.9163,-0.7437,-84.9163
6613.6197,-0.7452,-84.9908,-0.7452,-84.9908
6619.4777,-0.7467,-85.0654,-0.7467,-85.0654
6625.3356,-0.7482,-85.1400,-0.7482,-85.1400
6631.1936,-0.7497,-85.2145,-0.7497,-85.2145
6637.0515,-0.7512,-85.2891,-0.7512,-85.2891
6642.9094,-0.7527,-85.3637,-0.7527,-85.3637
6648.7674,-0.7543,-85.4382,-0.7543,-85.4382
6654.6253,-0.7558,-85.5128,-0.7558,-85.5128
6660.4833,-0.7573,-85.5874,-0.7573,-85.5874
6666.3412,-0.7588,-85.6620,-0.7588,-85.6620
6672.1992,-0.7603,-85.7365,-0.7603,-85.7365
6678.0571,-0.7618,-85.8111,-0.7618,-85.8111
6683.9151,-0.7633,-85.8857,-0.7633,-85.8857
6689.7730,-0.7649,-85.9603,-0.7649,-85.9603
6695.6309,-0.7664,-86.0348,-0.7664,-86.0348
6701.4889,-0.7679,-86.1094,-0.7679,-86.1094
6707.3468,-0.7694,-86.1840,-0.7694,-86.1840
6713.2048,-0.7709,-86.2586,-0.7709,-86.2586
6719.0627,-0.7725,-86.3332,-0.7725,-86.3332
6724.9207,-0.7740,-86.4078,-0.7740,-86.4078
6730.7786,-0.7755,-86.4823,-0.7755,-86.4823
6736.6366,-0.7770,-86.5569,-0.7770,-86.5569
6742.4945,-0.7786,-86.6315,-0.7786,-86.6315
6748.3525,-0.7801,-86.7061,-0.7801,-86.7061
6754.2104,-0.7816,-86.7807,-0.7816,-86.7807
6760.0683,-0.7831,-86.8553,-0.7831,-86.8553
6765.9263,-0.7847,-86.9299,-0.7847,-86.9299
6771.7842,-0.7862,-87.0044,-0.7862,-87.0044
6777.6422,-0.7877,-87.0790,-0.7877,-87.0790
6783.5001,-0.7893,-87.1536,-0.7893,-87.1536
6789.3581,-0.7908,-87.2282,-0.7908,-87.2282
6795.2160,-0.7923,-87.3028,-0.7923,-87.3028
6801.0740,-0.7939,-87.3774,-0.7939,-87.3774
6806.9319,-0.7954,-87.4520,-0.7954,-87.4520
6812.7898,-0.7969,-87.5266,-0.7969,-87.5266
6818.6478,-0.7985,-87.6012,-0.7985,-87.6012
6824.5057,-0.8000,-87.6758,-0.8000,-87.6758
6830.3637,-0.8015,-87.7504,-0.8015,-87.7504
6836.2216,-0.8031,-87.8250,-0.8031,-87.8250
6842.0796,-0.8046,-87.8996,-0.8046,-87.8996
6847.9375,-0.8062,-87.9742,-0.8062,-87.9742
6853.7955,-0.8077,-88.0488,-0.8077,-88.0488
6859.6534,-0.8093,-88.1234,-0.8093,-88.1234
6865.5113,-0.8108,-88.1980,-0.8108,-88.1980
6871.3693,-0.8123,-88.2726,-0.8123,-88.2726
6877.2272,-0.8139,-88.3473,-0.8139,-88.3473
6883.0852,-0.8154,-88.4219,-0.8154,-88.4219
6888.9431,-0.8170,-88.4965,-0.8170,-88.4965
6894.8011,-0.8185,-88.5711,-0.8185,-88.5711
6900.6590,-0.8201,-88.6457,-0.8201,-88.6457
6906.5170,-0.8216,-88.7203,-0.8216,-88.7203
6912.3749,-0.8232,-88.7949,-0.8232,-88.7949
6918.2329,-0.8247,-88.8696,-0.8247,-88.8696
6924.0908,-0.8263,-88.9442,-0.8263,-88.9442
6929.9487,-0.8278,-89.0188,-0.8278,-89.0188
6935.8067,-0.8294,-89.0934,-0.8294,-89.0934
6941.6646,-0.8310,-89.1680,-0.8310,-89.1680
6947.5226,-0.8325,-89.2427,-0.8325,-89.2427
6953.3805,-0.8341,-89.3173,-0.8341,-89.3173
6959.2385,-0.8356,-89.3919,-0.8356,-89.3919
6965.0964,-0.8372,-89.4665,-0.8372,-89.4665
6970.9544,-0.8387,-89.5412,-0.8387,-89.5412
6976.8123,-0.8403,-89.6158,-0.8403,-89.6158
6982.6702,-0.8419,-89.6904,-0.8419,-89.6904
6988.5282,-0.8434,-89.7651,-0.8434,-89.7651
6994.3861,-0.8450,-89.8397,-0.8450,-89.8397
7000.2441,-0.8466,-89.9143,-0.8466,-89.9143
7006.1020,-0.8481,-89.9890,-0.8481,-89.9890
7011.9600,-0.8497,-90.0636,-0.8497,-90.0636
7017.8179,-0.8513,-90.1383,-0.8513,-90.1383
7023.6759,-0.8528,-90.2129,-0.8528,-90.2129
7029.5338,-0.8544,-90.2875,-0.8544,-90.2875
7035.3918,-0.8560,-90.3622,-0.8560,-90.3622
7041.2497,-0.8575,-90.4368,-0.8575,-90.4368
7047.1076,-0.8591,-90.5115,-0.8591,-90.5115
7052.9656,-0.8607,-90.5861,-0.8607,-90.5861
7058.8235,-0.8623,-90.6608,-0.8623,-90.6608
7064.6815,-0.8638,-90.7354,-0.8638,-90.7354
7070.5394,-0.8654,-90.8101,-0.8654,-90.8101
7076.3974,-0.8670,-90.8848,-0.8670,-90.8848
7082.2553,-0.8686,-90.9594,-0.8686,-90.9594
7088.1133,-0.8701,-91.0341,-0.8701,-91.0341
7093.9712,-0.8717,-91.1087,-0.8717,-91.1087
7099.8291,-0.8733,-91.1834,-0.8733,-91.1834
7105.6871,-0.8749,-91.2580,-0.8749,-91.2580
7111.5450,-0.8765,-91.3327,-0.8765,-91.3327
7117.4030,-0.8780,-91.4074,-0.8780,-91.4074
7123.2609,-0.8796,-91.4821,-0.8796,-91.4821
7129.1189,-0.8812,-91.5567,-0.8812,-91.5567
7134.9768,-0.8828,-91.6314,-0.8828,-91.6314
7140.8348,-0.8844,-91.7061,-0.8844,-91.7061
7146.6927,-0.8860,-91.7807,-0.8860,-91.7807
7152.5506,-0.8875,-91.8554,-0.8875,-91.8554
7158.4086,-0.8891,-91.9301,-0.8891,-91.9301
7164.2665,-0.8907,-92.0048,-0.8907,-92.0048
7170.1245,-0.8923,-92.0794,-0.8923,-92.0794
7175.9824,-0.8939,-92.1541,-0.8939,-92.1541
7181.8404,-0.8955,-92.2288,-0.8955,-92.2288
7187.6983,-0.8971,-92.3035,-0.8971,-92.3035
7193.5563,-0.8987,-92.3782,-0.8987,-92.3782
7199.4142,-0.9003,-92.4529,-0.9003,-92.4529
7205.2722,-0.9019,-92.5276,-0.9019,-92.5276
7211.1301,-0.9035,-92.6023,-0.9035,-92.6023
7216.9880,-0.9051,-92.6770,-0.9051,-92.6770
7222.8460,-0.9067,-92.7517,-0.9067,-92.7517
7228.7039,-0.9083,-92.8264,-0.9083,-92.8264
7234.5619,-0.9099,-92.9011,-0.9099,-92.9011
7240.4198,-0.9115,-92.9758,-0.9115,-92.9758
7246.2778,-0.9131,-93.0505,-0.9131,-93.0505
7252.1357,-0.9147,-93.1252,-0.9147,-93.1252
7257.9937,-0.9163,-93.1999,-0.9163,-93.1999
7263.8516,-0.9179,-93.2746,-0.9179,-93.2746
7269.7095,-0.9195,-93.3493,-0.9195,-93.3493
7275.5675,-0.9211,-93.4240,-0.9211,-93.4240
7281.4254,-0.9227,-93.4987,-0.9227,-93.4987
7287.2834,-0.9243,-93.5734,-0.9243,-93.5734
7293.1413,-0.9259,-93.6482,-0.9259,-93.6482
7298.9993,-0.9275,-93.7229,-0.9275,-93.7229
7304.8572,-0.9291,-93.7976,-0.9291,-93.7976
7310.7152,-0.9307,-93.8723,-0.9307,-93.8723
7316.5731,-0.9324,-93.9471,-0.9324,-93.9471
7322.4310,-0.9340,-94.0218,-0.9340,-94.0218
7328.2890,-0.9356,-94.0965,-0.9356,-94.0965
7334.1469,-0.9372,-94.1713,-0.9372,-94.1713
7340.0049,-0.9388,-94.2460,-0.9388,-94.2460
7345.8628,-0.9404,-94.3207,-0.9404,-94.3207
7351.7208,-0.9420,-94.3955,-0.9420,-94.3955
7357.5787,-0.9437,-94.4702,-0.9437,-94.4702
7363.4367,-0.9453,-94.5449,-0.9453,-94.5449
7369.2946,-0.9469,-94.6197,-0.9469,-94.6197
7375.1526,-0.9485,-94.6944,-0.9485,-94.6944
7381.0105,-0.9501,-94.7692,-0.9501,-94.7692
7386.8684,-0.9518,-94.8439,-0.9518,-94.8439
7392.7264,-0.9534,-94.9187,-0.9534,-94.9187
7398.5843,-0.9550,-94.9935,-0.9550,-94.9935
7404.4423,-0.9566,-95.0682,-0.9566,-95.0682
7410.3002,-0.9583,-95.1430,-0.9583,-95.1430
7416.1582,-0.9599,-95.2177,-0.9599,-95.2177
7422.0161,-0.9615,-95.2925,-0.9615,-95.2925
7427.8741,-0.9632,-95.3673,-0.9632,-95.3673
7433.7320,-0.9648,-95.4420,-0.9648,-95.4420
7439.5899,-0.9664,-95.5168,-0.9664,-95.5168
7445.4479,-0.9680,-95.5916,-0.9680,-95.5916
7451.3058,-0.9697,-95.6664,-0.9697,-95.6664
7457.1638,-0.9713,-95.7411,-0.9713,-95.7411
7463.0217,-0.9729,-95.8159,-0.9729,-95.8159
7468.8797,-0.9746,-95.8907,-0.9746,-95.8907
7474.7376,-0.9762,-95.9655,-0.9762,-95.9655
7480.5956,-0.9778,-96.0403,-0.9778,-96.0403
7486.4535,-0.9795,-96.1150,-0.9795,-96.1150
7492.3114,-0.9811,-96.1898,-0.9811,-96.1898
7498.1694,-0.9828,-96.2646,-0.9828,-96.2646
7504.0273,-0.9844,-96.3394,-0.9844,-96.3394
7509.8853,-0.9860,-96.4142,-0.9860,-96.4142
7515.7432,-0.9877,-96.4890,-0.9877,-96.4890
7521.6012,-0.9893,-96.5638,-0.9893,-96.5638
7527.4591,-0.9910,-96.6386,-0.9910,-96.6386
7533.3171,-0.9926,-96.7134,-0.9926,-96.7134
7539.1750,-0.9943,-96.7882,-0.9943,-96.7882
7545.0330,-0.9959,-96.8631,-0.9959,-96.8631
7550.8909,-0.9976,-96.9379,-0.9976,-96.9379
7556.7488,-0.9992,-97.0127,-0.9992,-97.0127
7562.6068,-1.0009,-97.0875,-1.0009,-97.0875
7568.4647,-1.0025,-97.1623,-1.0025,-97.1623
7574.3227,-1.0042,-97.2371,-1.0042,-97.2371
7580.1806,-1.0058,-97.3120,-1.0058,-97.3120
7586.0386,-1.0075,-97.3868,-1.0075,-97.3868
7591.8965,-1.0091,-97.4616,-1.0091,-97.4616
7597.7545,-1.0108,-97.5365,-1.0108,-97.5365
7603.6124,-1.0124,-97.6113,-1.0124,-97.6113
7609.4703,-1.0141,-97.6861,-1.0141,-97.6861
7615.3283,-1.0157,-97.7610,-1.0157,-97.7610
7621.1862,-1.0174,-97.8358,-1.0174,-97.8358
7627.0442,-1.0191,-97.9107,-1.0191,-97.9107
7632.9021,-1.0207,-97.9855,-1.0207,-97.9855
7638.7601,-1.0224,-98.0604,-1.0224,-98.0604
7644.6180,-1.0240,-98.1352,-1.0240,-98.1352
7650.4760,-1.0257,-98.2101,-1.0257,-98.2101
7656.3339,-1.0274,-98.2849,-1.0274,-98.2849
7662.1918,-1.0290,-98.3598,-1.0290,-98.3598
7668.0498,-1.0307,-98.4347,-1.0307,-98.4347
7673.9077,-1.0324,-98.5095,-1.0324,-98.5095
7679.7657,-1.0340,-98.5844,-1.0340,-98.5844
7685.6236,-1.0357,-98.6593,-1.0357,-98.6593
7691.4816,-1.0374,-98.7341,-1.0374,-98.7341
7697.3395,-1.0390,-98.8090,-1.0390,-98.8090
7703.1975,-1.0407,-98.8839,-1.0407,-98.8839
7709.0554,-1.0424,-98.9588,-1.0424,-98.9588
7714.9134,-1.0440,-99.0337,-1.0440,-99.0337
7720.7713,-1.0457,-99.1086,-1.0457,-99.1086
7726.6292,-1.0474,-99.1834,-1.0474,-99.1834
7732.4872,-1.0491,-99.2583,-1.0491,-99.2583
7738.3451,-1.0507,-99.3332,-1.0507,-99.3332
7744.2031,-1.0524,-99.4081,-1.0524,-99.4081
7750.0610,-1.0541,-99.4830,-1.0541,-99.4830
7755.9190,-1.0558,-99.5579,-1.0558,-99.5579
7761.7769,-1.0575,-99.6328,-1.0575,-99.6328
7767.6349,-1.0591,-99.7077,-1.0591,-99.7077
7773.4928,-1.0608,-99.7827,-1.0608,-99.7827
7779.3507,-1.0625,-99.8576,-1.0625,-99.8576
7785.2087,-1.0642,-99.9325,-1.0642,-99.9325
7791.0666,-1.0659,-100.0074,-1.0659,-100.0074
7796.9246,-1.0676,-100.0823,-1.0676,-100.0823
7802.7825,-1.0692,-100.1573,-1.0692,-100.1573
7808.6405,-1.0709,-100.2322,-1.0709,-100.2322
7814.4984,-1.0726,-100.3071,-1.0726,-100.3071
7820.3564,-1.0743,-100.3821,-1.0743,-100.3821
7826.2143,-1.0760,-100.4570,-1.0760,-100.4570
7832.0722,-1.0777,-100.5319,-1.0777,-100.5319
7837.9302,-1.0794,-100.6069,-1.0794,-100.6069
7843.7881,-1.0811,-100.6818,-1.0811,-100.6818
7849.6461,-1.0828,-100.7568,-1.0828,-100.7568
7855.5040,-1.0845,-100.8317,-1.0845,-100.8317
7861.3620,-1.0861,-100.9067,-1.0861,-100.9067
7867.2199,-1.0878,-100.9816,-1.0878,-100.9816
7873.0779,-1.0895,-101.0566,-1.0895,-101.0566
7878.9358,-1.0912,-101.1316,-1.0912,-101.1316
7884.7938,-1.0929,-101.2065,-1.0929,-101.2065
7890.6517,-1.0946,-101.2815,-1.0946,-101.2815
7896.5096,-1.0963,-101.3565,-1.0963,-101.3565
7902.3676,-1.0980,-101.4315,-1.0980,-101.4315
7908.2255,-1.0997,-101.5064,-1.0997,-101.5064
7914.0835,-1.1014,-101.5814,-1.1014,-101.5814
7919.9414,-1.1031,-101.6564,-1.1031,-101.6564
7925.7994,-1.1048,-101.7314,-1.1048,-101.7314
7931.6573,-1.1066,-101.8064,-1.1066,-101.8064
7937.5153,-1.1083,-101.8814,-1.1083,-101.8814
7943.3732,-1.1100,-101.9564,-1.1100,-101.9564
7949.2311,-1.1117,-102.0314,-1.1117,-102.0314
7955.0891,-1.1134,-102.1064,-1.1134,-102.1064
7960.9470,-1.1151,-102.1814,-1.1151,-102.1814
7966.8050,-1.1168,-102.2564,-1.1168,-102.2564
7972.6629,-1.1185,-102.3314,-1.1185,-102.3314
7978.5209,-1.1202,-102.4064,-1.1202,-102.4064
7984.3788,-1.1219,-102.4815,-1.1219,-102.4815
7990.2368,-1.1237,-102.5565,-1.1237,-102.5565
7996.0947,-1.1254,-102.6315,-1.1254,-102.6315
8001.9526,-1.1271,-102.7065,-1.1271,-102.7065
8007.8106,-1.1288,-102.7816,-1.1288,-102.7816
8013.6685,-1.1305,-102.8566,-1.1305,-102.8566
8019.5265,-1.1322,-102.9316,-1.1322,-102.9316
8025.3844,-1.1340,-103.0067,-1.1340,-103.0067
8031.2424,-1.1357,-103.0817,-1.1357,-103.0817
8037.1003,-1.1374,-103.1568,-1.1374,-103.1568
8042.9583,-1.1391,-103.2318,-1.1391,-103.2318
8048.8162,-1.1409,-103.3069,-1.1409,-103.3069
8054.6742,-1.1426,-103.3819,-1.1426,-103.3819
8060.5321,-1.1443,-103.4570,-1.1443,-103.4570
8066.3900,-1.1460,-103.5321,-1.1460,-103.5321
8072.2480,-1.1478,-103.6071,-1.1478,-103.6071
8078.1059,-1.1495,-103.6822,-1.1495,-103.6822
8083.9639,-1.1512,-103.7573,-1.1512,-103.7573
8089.8218,-1.1529,-103.8324,-1.1529,-103.8324
8095.6798,-1.1547,-103.9074,-1.1547,-103.9074
8101.5377,-1.1564,-103.9825,-1.1564,-103.9825
8107.3957,-1.1581,-104.0576,-1.1581,-104.0576
8113.2536,-1.1599,-104.1327,-1.1599,-104.1327
8119.1115,-1.1616,-104.2078,-1.1616,-104.2078
8124.9695,-1.1633,-104.2829,-1.1633,-104.2829
8130.8274,-1.1651,-104.3580,-1.1651,-104.3580
8136.6854,-1.1668,-104.4331,-1.1668,-104.4331
8142.5433,-1.1686,-104.5082,-1.1686,-104.5082
8148.4013,-1.1703,-104.5833,-1.1703,-104.5833
8154.2592,-1.1720,-104.6584,-1.1720,-104.6584
8160.1172,-1.1738,-104.7336,-1.1738,-104.7336
8165.9751,-1.1755,-104.8087,-1.1755,-104.8087
8171.8330,-1.1773,-104.8838,-1.1773,-104.8838
8177.6910,-1.1790,-104.9590,-1.1790,-104.9590
8183.5489,-1.1808,-105.0341,-1.1808,-105.0341
8189.4069,-1.1825,-105.1092,-1.1825,-105.1092
8195.2648,-1.1842,-105.1844,-1.1842,-105.1844
8201.1228,-1.1860,-105.2595,-1.1860,-105.2595
8206.9807,-1.1877,-105.3347,-1.1877,-105.3347
8212.8387,-1.1895,-105.4098,-1.1895,-105.4098
8218.6966,-1.1912,-105.4850,-1.1912,-105.4850
8224.5546,-1.1930,-105.5601,-1.1930,-105.5601
8230.4125,-1.1947,-105.6353,-1.1947,-105.6353
8236.2704,-1.1965,-105.7104,-1.1965,-105.7104
8242.1284,-1.1983,-105.7856,-1.1983,-105.7856
8247.9863,-1.2000,-105.8608,-1.2000,-105.8608
8253.8443,-1.2018,-105.9360,-1.2018,-105.9360
8259.7022,-1.2035,-106.0111,-1.2035,-106.0111
8265.5602,-1.2053,-106.0863,-1.2053,-106.0863
8271.4181,-1.2070,-106.1615,-1.2070,-106.1615
8277.2761,-1.2088,-106.2367,-1.2088,-106.2367
8283.1340,-1.2106,-106.3119,-1.2106,-106.3119
8288.9919,-1.2123,-106.3871,-1.2123,-106.3871
8294.8499,-1.2141,-106.4623,-1.2141,-106.4623
8300.7078,-1.2158,-106.5375,-1.2158,-106.5375
8306.5658,-1.2176,-106.6127,-1.2176,-106.6127
8312.4237,-1.2194,-106.6879,-1.2194,-106.6879
8318.2817,-1.2211,-106.7632,-1.2211,-106.7632
8324.1396,-1.2229,-106.8384,-1.2229,-106.8384
8329.9976,-1.2247,-106.9136,-1.2247,-106.9136
8335.8555,-1.2264,-106.9888,-1.2264,-106.9888
8341.7134,-1.2282,-107.0641,-1.2282,-107.0641
8347.5714,-1.2300,-107.1393,-1.2300,-107.1393
8353.4293,-1.2318,-107.2145,-1.2318,-107.2145
8359.2873,-1.2335,-107.2898,-1.2335,-107.2898
8365.1452,-1.2353,-107.3650,-1.2353,-107.3650
8371.0032,-1.2371,-107.4403,-1.2371,-107.4403
8376.8611,-1.2388,-107.5155,-1.2388,-107.5155
8382.7191,-1.2406,-107.5908,-1.2406,-107.5908
8388.5770,-1.2424,-107.6661,-1.2424,-107.6661
8394.4350,-1.2442,-107.7413,-1.2442,-107.7413
8400.2929,-1.2460,-107.8166,-1.2460,-107.8166
8406.1508,-1.2477,-107.8919,-1.2477,-107.8919
8412.0088,-1.2495,-107.9672,-1.2495,-107.9672
8417.8667,-1.2513,-108.0424,-1.2513,-108.0424
8423.7247,-1.2531,-108.1177,-1.2531,-108.1177
8429.5826,-1.2549,-108.1930,-1.2549,-108.1930
8435.4406,-1.2567,-108.2683,-1.2567,-108.2683
8441.2985,-1.2584,-108.3436,-1.2584,-108.3436
8447.1565,-1.2602,-108.4189,-1.2602,-108.4189
8453.0144,-1.2620,-108.4942,-1.2620,-108.4942
8458.8723,-1.2638,-108.5695,-1.2638,-108.5695
8464.7303,-1.2656,-108.6449,-1.2656,-108.6449
8470.5882,-1.2674,-108.7202,-1.2674,-108.7202
8476.4462,-1.2692,-108.7955,-1.2692,-108.7955
8482.3041,-1.2710,-108.8708,-1.2710,-108.8708
8488.1621,-1.2728,-108.9462,-1.2728,-108.9462
8494.0200,-1.2746,-109.0215,-1.2746,-109.0215
8499.8780,-1.2764,-109.0968,-1.2764,-109.0968
8505.7359,-1.2781,-109.1722,-1.2781,-109.1722
8511.5938,-1.2799,-109.2475,-1.2799,-109.2475
8517.4518,-1.2817,-109.3229,-1.2817,-109.3229
8523.3097,-1.2835,-109.3982,-1.2835,-109.3982
8529.1677,-1.2853,-109.4736,-1.2853,-109.4736
8535.0256,-1.2871,-109.5490,-1.2871,-109.5490
8540.8836,-1.2889,-109.6243,-1.2889,-109.6243
8546.7415,-1.2907,-109.6997,-1.2907,-109.6997
8552.5995,-1.2926,-109.7751,-1.2926,-109.7751
8558.4574,-1.2944,-109.8505,-1.2944,-109.8505
8564.3154,-1.2962,-109.9258,-1.2962,-109.9258
8570.1733,-1.2980,-110.0012,-1.2980,-110.0012
8576.0312,-1.2998,-110.0766,-1.2998,-110.0766
8581.8892,-1.3016,-110.1520,-1.3016,-110.1520
8587.7471,-1.3034,-110.2274,-1.3034,-110.2274
8593.6051,-1.3052,-110.3028,-1.3052,-110.3028
8599.4630,-1.3070,-110.3782,-1.3070,-110.3782
8605.3210,-1.3088,-110.4537,-1.3088,-110.4537
8611.1789,-1.3106,-110.5291,-1.3106,-110.5291
8617.0369,-1.3125,-110.6045,-1.3125,-110.6045
8622.8948,-1.3143,-110.6799,-1.3143,-110.6799
8628.7527,-1.3161,-110.7554,-1.3161,-110.7554
8634.6107,-1.3179,-110.8308,-1.3179,-110.8308
8640.4686,-1.3197,-110.9062,-1.3197,-110.9062
8646.3266,-1.3215,-110.9817,-1.3215,-110.9817
8652.1845,-1.3234,-111.0571,-1.3234,-111.0571
8658.0425,-1.3252,-111.1326,-1.3252,-111.1326
8663.9004,-1.3270,-111.2081,-1.3270,-111.2081
8669.7584,-1.3288,-111.2835,-1.3288,-111.2835
8675.6163,-1.3307,-111.3590,-1.3307,-111.3590
8681.4742,-1.3325,-111.4345,-1.3325,-111.4345
8687.3322,-1.3343,-111.5099,-1.3343,-111.5099
8693.1901,-1.3361,-111.5854,-1.3361,-111.5854
8699.0481,-1.3380,-111.6609,-1.3380,-111.6609
8704.9060,-1.3398,-111.7364,-1.3398,-111.7364
8710.7640,-1.3416,-111.8119,-1.3416,-111.8119
8716.6219,-1.3434,-111.8874,-1.3434,-111.8874
8722.4799,-1.3453,-111.9629,-1.3453,-111.9629
8728.3378,-1.3471,-112.0384,-1.3471,-112.0384
8734.1958,-1.3489,-112.1139,-1.3489,-112.1139
8740.0537,-1.3508,-112.1894,-1.3508,-112.1894
8745.9116,-1.3526,-112.2649,-1.3526,-112.2649
8751.7696,-1.3545,-112.3405,-1.3545,-112.3405
8757.6275,-1.3563,-112.4160,-1.3563,-112.4160
8763.4855,-1.3581,-112.4915,-1.3581,-112.4915
8769.3434,-1.3600,-112.5671,-1.3600,-112.5671
8775.2014,-1.3618,-112.6426,-1.3618,-112.6426
8781.0593,-1.3636,-112.7181,-1.3636,-112.7181
8786.9173,-1.3655,-112.7937,-1.3655,-112.7937
8792.7752,-1.3673,-112.8693,-1.3673,-112.8693
8798.6331,-1.3692,-112.9448,-1.3692,-112.9448
8804.4911,-1.3710,-113.0204,-1.3710,-113.0204
8810.3490,-1.3729,-113.0960,-1.3729,-113.0960
8816.2070,-1.3747,-113.1715,-1.3747,-113.1715
8822.0649,-1.3766,-113.2471,-1.3766,-113.2471
8827.9229,-1.3784,-113.3227,-1.3784,-113.3227
8833.7808,-1.3803,-113.3983,-1.3803,-113.3983
8839.6388,-1.3821,-113.4739,-1.3821,-113.4739
8845.4967,-1.3840,-113.5495,-1.3840,-113.5495
8851.3546,-1.3858,-113.6251,-1.3858,-113.6251
8857.2126,-1.3877,-113.7007,-1.3877,-113.7007
8863.0705,-1.3895,-113.7763,-1.3895,-113.7763
8868.9285,-1.3914,-113.8519,-1.3914,-113.8519
8874.7864,-1.3932,-113.9275,-1.3932,-113.9275
8880.6444,-1.3951,-114.0032,-1.3951,-114.0032
8886.5023,-1.3970,-114.0788,-1.3970,-114.0788
8892.3603,-1.3988,-114.1544,-1.3988,-114.1544
